user_country,source,content,date
,Twitter for iPhone,Tonight is the final presidential debate for the 2020 election. Make sure to check it out at 8:00! Here are some topics that will be discussed: ▪fighting COVID-19 ▪American families ▪race in America ▪climate change ▪national security ▪leadership https://t.co/jZasMxvIDC,2020-10-22T22:24:49+00:00
,Twitter for iPhone,"@JeremiSuri @UT_HistDept @UTAustin @TheLBJSchool @fsgbooks @public_affairs @PenielJoseph @csrdut @NextEinsteinFor I like when Neiman said not “black,” or “Jewish,” but all humanity. How do we get there? One reason, never talked about, with race relations in America is that people haven’t wanted families of mixed races. It’s only now becoming okay. Give America some credit, we’re enormously",2020-10-22T22:23:02+00:00
NY/Abuja,Twitter for Android,Let me focus some more on #Election2020   The #Debates2020 will covers:  📌 Covid-19 📌 American families 📌 Race in America 📌 Climate change 📌 National security 📌 Leadership  It is: @realDonaldTrump  @JoeBiden   Who meets your expectations? #Elections2020  @Twitter  @USATODAY,2020-10-22T22:22:48+00:00
,Twitter for Android,@nytimes Let's see 6 topics 1. Trump order US Navy Comfort &amp; Mercy 2. Race in America ob &amp; jb divided us. 3. Climate forest need to be managed 4. National Security biden emails under investigation 5. Building WALL bring jobs back  6. American's better now than previous 🇺🇸,2020-10-22T22:21:53+00:00
"Seattle, WA",Twitter Web App,"@DLoesch Agreed.  Answer the questions briefly.  Like on the ""race in America"" topic -- ""This was a topic in the first debate.  I don't know if you watched.  But let me be clear -- every American, black, white, Hispanic, Asian, native American -- ....  /1",2020-10-22T22:17:27+00:00
"Lagos, Nigeria",Twitter for Android,The final installment of #Debates2020 will cover six main issues:  📌 Covid-19 📌 American families 📌 Race in America 📌 Climate change 📌 National security 📌 Leadership 2023 in  🇳🇬 debate would focus on Good road  24hrs electricity  Railway Good water Schools feedin Airports,2020-10-22T22:17:19+00:00
she/they,Twitter for iPhone,"@C4MB0YM1N0 not everything is racially based why can’t you understand it, we just call that to english speakers that are born in an english speaking country NOTHING to do with race at all there’s people with latin heritage that we still call gringo because they live in america like-",2020-10-22T22:16:28+00:00
,Twitter Web App,"@TheDailyShow @chrisrock So tired of this , there are bad people in every race , but it just seems like white people suck and are racist . I'm sure that every black person in America just loves every other  race and would never do anything to hurt anyone ever.",2020-10-22T22:14:22+00:00
Level Black Identity Extremist,Twitter for iPhone,"The final presidential debate is tonight at 8pm. The topics will be COVID-19, American families, race in America, climate change, national security and leadership. Are you tuning in?",2020-10-22T22:14:15+00:00
,Twitter for Android,@nytimes Here are Trump's positions:  COVID-19: Hunter Biden  American Families: Hunter Biden Race in America: Hunter Biden Climate Change: Hunter Biden National Security: Hunter Biden Leadership: Hunter Biden,2020-10-22T22:14:15+00:00
,Twitter Web App,"@philllosoraptor @kathrynw5 Oh I totally agree, these third debate topics are very much in order to not hurt Biden and to jab at Trump (""Race in America""):  1) https://t.co/ReBm6Nt2dz  2) https://t.co/oZzcm7GtfZ",2020-10-22T22:11:58+00:00
,Twitter Web App,"The topics the presidential candidates will debate will include: Fighting Covid-19, American families, race in America, climate change, national security, and leadership. #ATVVotes",2020-10-22T22:11:47+00:00
"Bitch, what line?",Twitter Web App,Tonight Reality TV President Trump will debate against Joe Biden.   Pay attention to the topics. And how many times Trump avoids answering   - Fighting COVID-19 - American Families - Race in America - Climate Change - National Security - Leadership https://t.co/MsbIlhUohd,2020-10-22T22:11:25+00:00
Happy Wonderful Funtown,Twitter for iPhone,"There’s lots of ways to divide people. The best of which is of individual freedoms and community responsibility. The worst of which is race and submission to power.  America was founded on the first, and her opponents fight for the latter.   Luckily in America, you pick your side",2020-10-22T22:07:08+00:00
New York City,Twitter Web App,"@odeliasimone Billionaires are not left they are self serving. We have not had true left in America since Nixon &amp; closest we've come in recent memory is Bernie who was smeared w Russiagate garbage &amp; run out of the race w rigged primary, twice. We have no liberal party just NeoCon Dem machine.",2020-10-22T22:05:07+00:00
"Sugar Land, TX",Twitter Web App,"Here is the short list one Trump Covid -19 - Failed -2220,000 deaths American Families - No family values  Race in America - Ignores, does not care Climate change - Does not believe  National security - Porous - exposing us to danger Leadership - None https://t.co/OWywuvtuJb",2020-10-22T22:01:58+00:00
,Twitter Web App,"@SalmonKromeDome @AreoMagazine A couple things you could include/expand on: the general success of West Indian blacks in America and the conflation of race and culture. I know you touch on it, but I believe that it's this conflation that is most destructive.",2020-10-22T21:48:31+00:00
Boston,Twitter Web App,"With hopes that the candidates will cover all of these policy topics tonight, @JournoResource is sharing several recent pieces that look at what the research says about:  Fighting COVID-19 American Families Race in America Climate Change National Security Leadership  ⬇️⬇️⬇️⬇️ https://t.co/rzTqkJwTmw",2020-10-22T21:35:51+00:00
,Twitter for Android,"@legallyjennifer I wish you luck in your endeavors 🙂 I was fortunate to make it through, so many don't. Life in America can be a rat race.",2020-10-22T21:33:44+00:00
University of Texas at Austin,Twitter Web App,TONIGHT at 6PM CST: A Conversation with Bryan Stevenson and Sherrilyn Ifill @Sifill_LDF    President and Director-Counsel Sherrilyn Ifill of @NAACP_LDF  and Bryan Stevenson founder of @eji_org will discuss Race in America. Tap in a must listen  Watch here: https://t.co/ecyCteyovM https://t.co/vAY0Xhjcdg,2020-10-22T21:32:47+00:00
,Twitter for Android,"@dbongino @BrettFavre Brilliantly didn't answer the question. It's a loaded question it implies that the players believe there is racism in America and there is not, it's only an issue to government because they keep track of everything by race",2020-10-22T21:23:58+00:00
,Twitter for iPad,- is science real - hunter biden vs don jr - race in America  - is science real - race outside America  - who has better tweets https://t.co/SzSW6wIDja,2020-10-22T21:18:30+00:00
,Twitter for Android,@JMurray79030048 @ariastros @ProudUSAConserv @KristySwansonXO The race problem in America isn't near what you want to make it out to be. I bet you have never even tried to talk to anyone you think might be racist,2020-10-22T21:11:59+00:00
